chr	start	end	name	score	strand	gene	external_gene_name	annotation	finalized_annotation	grouped_annotation	annotation_count	TOTAL_TagCount	Nuc_F_M_BC	Nuc_F_S_BC	Cyto_F_M_BC	Cyto_F_S_BC	NLS_I_M_BC	NLS_I_S_BC	NES_I_M_BC	NES_I_S_BC	G3BP_I_M_BC	G3BP_I_S_BC	NLS_E_M_BC	NLS_E_S_BC	NES_E_M_BC	NES_E_S_BC	G3BP_E_M_BC	G3BP_E_S_BC	TOTAL_BC	G3BP_E_M_1	G3BP_E_M_2	G3BP_E_M_3	G3BP_E_M_4	G3BP_E_M_5	G3BP_E_M_6
chr2	151475269	151475289	chr2-109	   68.80	+	ENSG00000080345	RIF1	3'UTR|intron	3'UTR	3'UTR	2	0.0002918162	3	3	3	3	2	1	1	1	1	3	0	0	1	1	3	5	31	0	6.610259e-06	0	0	2.991898e-06	3.177209e-06
chr2	152653163	152653183	chr2-470	   43.20	-	ENSG00000196504	PRPF40A	3'UTR	3'UTR	3'UTR	1	0.000316718	2	3	3	3	1	2	1	0	0	4	1	2	0	0	3	4	29	0.0001579779	1.983078e-05	0	0	0	3.177209e-06
chr2	153208060	153208080	chr2-9554	   11.00	-				UnAn	UnAn	0	4.133016e-05	0	0	0	0	1	2	0	0	1	1	1	1	0	2	3	2	14	0	6.610259e-06	0	0	2.991898e-06	1.05907e-06
chr2	156173912	156173932	chr2-67	  111.10	-	ENSG00000226383	LINC01876	intron|lncRNA	lncRNA	ncRNA	2	0.0003738364	3	3	3	3	1	2	1	1	2	3	1	2	0	1	3	3	32	0	6.610259e-06	0	0	5.983796e-06	6.354418e-06
chr2	156173912	156173932	chr2-67	  111.10	-	ENSG00000226383	LINC01876	intron|lncRNA	lncRNA	ncRNA	2	0.0003738364	3	3	3	3	1	2	1	1	2	3	1	2	0	1	3	3	32	0	6.610259e-06	0	0	5.983796e-06	6.354418e-06
chr2	158493002	158493022	chr2-507	   35.30	+	ENSG00000144283	PKP4	intron|Other	Other	Other	2	0.0001377367	3	3	3	3	2	2	0	0	1	2	0	0	1	0	3	1	24	0	2.644104e-05	0	0	1.196759e-05	4.236278e-06
chr2	159759142	159759162	chr2-1383	   21.20	+	ENSG00000136536	MARCHF7	intron	intron	intron	1	7.102355e-05	3	3	2	1	1	1	0	1	0	2	1	1	0	0	3	0	19	0	6.610259e-06	0	0	2.991898e-06	4.236278e-06
chr2	159759521	159759541	chr2-99	   84.20	+	ENSG00000136536	MARCHF7	intron|Other	Other	Other	2	0.0002630614	3	3	3	3	2	2	1	0	3	2	0	1	0	1	3	1	28	0	1.322052e-05	0	0	5.983796e-06	6.354418e-06
chr2	163682125	163682145	chr2-124	   86.80	-	ENSG00000182263	FIGN	intron	intron	intron	1	0.0003244037	3	3	3	3	1	2	2	2	3	4	1	2	0	1	3	2	35	0	6.610259e-06	0	0	2.991898e-06	5.295348e-06
chr2	164502067	164502087	chr2-638	   34.40	-	ENSG00000115290	GRB14	intron|CDS_Retained_intron	CDS_RI	intron	2	9.79952e-05	3	3	3	3	1	2	0	1	1	2	0	1	0	1	3	0	24	0	6.610259e-06	0	0	2.991898e-06	1.05907e-06
chr2	166247139	166247159	chr2-1129	   21.60	-	ENSG00000169432	SCN9A	downstream 10K|intron	intron	intron	2	8.569022e-05	1	3	3	3	2	2	0	0	0	2	0	2	0	0	3	1	22	0	6.610259e-06	0	0	8.975694e-06	2.118139e-06
chr2	168436202	168436222	chr2-1706	   22.50	+			Other|unannotated	Other	Other	2	0.000230408	0	2	0	3	1	1	0	0	0	0	1	1	0	2	3	2	16	0.0001579779	6.610259e-06	0	0	0	3.177209e-06
chr2	170082028	170082048	chr2-20	  390.50	+	ENSG00000144357	UBR3	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.001055951	3	3	3	3	2	2	1	2	2	3	2	4	2	2	3	5	42	0	6.610259e-06	0	0	2.094329e-05	1.164977e-05
chr2	170993651	170993671	chr2-3	  704.70	-	ENSG00000198586	TLK1	3'UTR	3'UTR	3'UTR	1	0.002425883	3	3	3	3	2	2	2	2	3	5	4	3	0	4	3	5	47	0	1.983078e-05	0	0	4.188657e-05	3.283116e-05
chr2	171146412	171146432	chr2-994	   31.30	-	ENSG00000198586	TLK1	intron	intron	intron	1	0.0003826957	3	3	3	3	2	2	1	0	2	2	0	1	0	1	3	0	26	0	0	6.775068e-05	0.0002145002	0	1.05907e-06
chr2	174104641	174104661	chr2-8305	    7.93	-	ENSG00000138430	OLA1	intron|CDS_Retained_intron	CDS_RI	intron	2	2.725237e-05	2	3	2	2	0	0	0	1	0	0	0	0	0	0	3	0	13	0	6.610259e-06	0	0	2.991898e-06	1.05907e-06
chr2	175073745	175073765	chr2-177	   67.40	-	ENSG00000115966	ATF2	3'UTR	3'UTR	3'UTR	1	0.0002956907	3	3	3	3	2	2	1	2	2	3	1	3	0	0	3	4	35	0	6.610259e-06	0	0	5.983796e-06	4.236278e-06
chr2	175074474	175074494	chr2-82	  108.40	-	ENSG00000115966	ATF2	3'UTR	3'UTR	3'UTR	1	0.0003776434	3	3	3	3	2	2	2	1	1	4	1	1	1	1	3	4	35	0	2.644104e-05	0	0	2.094329e-05	4.236278e-06
chr2	175924665	175924685	chr2-657	   32.60	-	ENSG00000144320	LNPK	3'UTR|Other	3'UTR	3'UTR	2	0.0002215763	3	3	3	3	2	2	1	1	1	3	0	1	0	1	4	2	30	0	6.610259e-06	6.775068e-05	0	2.991898e-06	1.05907e-06
chr2	175928491	175928511	chr2-25	  258.30	-	ENSG00000144320	LNPK	3'UTR	3'UTR	3'UTR	1	0.001150414	3	3	3	3	2	2	2	2	2	4	1	1	1	0	3	6	38	0	0	0.0001355014	0.0002145002	0	4.236278e-06
chr2	178287147	178287167	chr2-4411	   11.90	+	ENSG00000079156	OSBPL6	intron|Other	Other	Other	2	0.0002102594	0	0	0	0	1	1	0	0	0	1	0	2	0	0	4	2	11	0.0001579779	6.610259e-06	0	0	2.991898e-06	3.177209e-06
chr2	185527667	185527687	chr2-776	   44.10	+			unannotated	UnAn	UnAn	1	9.673607e-05	3	3	3	3	2	1	0	0	1	3	0	0	0	0	3	0	22	0	1.322052e-05	0	0	2.991898e-06	1.05907e-06
chr2	186679192	186679212	chr2-818	   38.30	+	ENSG00000138448	ITGAV	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	0.0002780302	2	1	3	2	2	1	1	1	1	3	0	0	0	2	3	3	25	0	0	6.775068e-05	0	2.991898e-06	1.05907e-06
chr2	189032598	189032618	chr2-6	  465.40	-	ENSG00000204262	COL5A2	3'UTR	3'UTR	3'UTR	1	0.001469534	3	3	3	3	2	2	2	2	2	5	2	2	1	2	3	6	43	0	3.966155e-05	0	0	3.590278e-05	2.43586e-05
chr2	189051610	189051630	chr2-425	   37.50	-	ENSG00000204262	COL5A2	intron	intron	intron	1	0.0001099018	3	3	3	3	2	2	0	1	2	3	1	0	0	0	3	0	26	0	6.610259e-06	0	0	2.991898e-06	3.177209e-06
chr2	189560910	189560930	chr2-182	   69.60	-	ENSG00000138449	SLC40A1	3'UTR	3'UTR	3'UTR	1	0.0003124679	3	3	3	3	1	2	1	1	2	3	0	0	1	2	3	2	30	0	0	6.775068e-05	0	2.991898e-06	1.05907e-06
chr2	195734154	195734174	chr2-1918	   21.60	+	ENSG00000196950	SLC39A10	downstream 10K|intron|Other	Other	Other	3	0.000319938	0	0	1	1	1	1	0	0	0	2	1	1	0	1	4	3	16	0.0001579779	1.322052e-05	0	0	2.991898e-06	3.177209e-06
chr2	196822658	196822678	chr2-444	   41.40	+			unannotated	UnAn	UnAn	1	0.0004318368	3	3	3	3	2	2	2	2	1	4	2	0	1	2	3	4	37	0	0	6.775068e-05	0	5.983796e-06	2.118139e-06
chr2	207764628	207764648	chr2-24	  255.60	-	ENSG00000163251	FZD5	3'UTR	3'UTR	3'UTR	1	0.0009834023	3	3	3	3	2	2	2	2	3	4	2	3	1	2	4	4	43	0.0001579779	2.644104e-05	0	0	8.975694e-06	9.531626e-06
chr2	207766054	207766074	chr2-11	  403.30	-	ENSG00000163251	FZD5	3'UTR	3'UTR	3'UTR	1	0.001600881	3	3	3	3	2	2	2	1	2	5	1	2	2	2	3	5	41	0	5.288207e-05	0	0	3.590278e-05	4.87172e-05
chr2	208236299	208236319	chr2-42	  175.80	-	ENSG00000138413	IDH1	3'UTR	3'UTR	3'UTR	1	0.0006155289	3	3	3	3	2	2	1	2	2	3	1	0	1	3	3	6	38	0	1.983078e-05	0	0	2.991898e-06	3.177209e-06
chr2	208236842	208236862	chr2-15	  504.60	-	ENSG00000138413	IDH1	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.001407033	3	3	3	3	2	2	1	1	2	5	2	3	0	2	4	3	39	0	6.610259e-06	6.775068e-05	0	2.991898e-06	3.177209e-06
chr2	223896729	223896749	chr2-14235	    4.85	-	ENSG00000085449	WDFY1	downstream 10K|intron|CDS_Retained_intron	CDS_RI	intron	3	0.00022811	1	0	1	2	0	1	0	0	0	0	1	0	0	0	3	0	9	0	0	0	0.0002145002	2.991898e-06	1.05907e-06
chr2	227558402	227558422	chr2-135	   80.20	+	ENSG00000173744	AGFG1	3'UTR	3'UTR	3'UTR	1	0.0003622175	3	3	3	3	2	2	1	1	1	5	1	0	1	0	3	1	30	0	0	6.775068e-05	0	2.393518e-05	3.177209e-06
chr2	230572475	230572495	chr2-567	   38.80	-	ENSG00000235419		intron|lncRNA	lncRNA	ncRNA	2	0.0002819947	3	2	3	3	2	2	1	0	0	4	0	0	1	1	4	3	29	0	6.610259e-06	6.775068e-05	0	5.983796e-06	3.177209e-06
chr2	231454829	231454849	chr2-2	 1120.30	-	ENSG00000115053	NCL	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.003376752	3	3	3	3	2	2	2	2	2	5	2	2	2	3	3	4	43	0	6.610259e-06	0	0	0.0001555787	9.42572e-05
chr2	231713467	231713487	chr2-88	   98.30	+	ENSG00000187514	PTMA	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.0004917477	3	3	3	3	2	2	1	2	2	4	1	0	2	0	3	4	35	0	6.610259e-06	0	0	1.196759e-05	1.05907e-06
chr2	233477080	233477100	chr2-1048	   29.50	-	ENSG00000085982	USP40	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.0001523116	1	3	3	3	1	1	0	1	1	3	0	2	1	0	3	0	23	0	0	6.775068e-05	0	2.991898e-06	2.118139e-06
chr20	   328532	   328552	chr20-1	  610.40	+	ENSG00000177732	SOX12	3'UTR|Other	3'UTR	3'UTR	2	0.001985403	3	3	3	3	2	2	2	0	2	4	2	2	0	2	3	4	37	0	1.322052e-05	0	0	1.795139e-05	2.541767e-05
chr20	   483743	   483763	chr20-34	  118.10	-	ENSG00000101266	CSNK2A1	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	0.0004286403	3	3	3	3	2	2	1	1	2	4	2	0	1	1	3	4	35	0	6.610259e-06	0	0	2.991898e-06	8.472557e-06
chr20	  1939627	  1939647	chr20-74	   93.90	+	ENSG00000198053	SIRPA	3'UTR	3'UTR	3'UTR	1	0.0003642774	3	3	3	3	2	1	1	1	1	4	0	2	0	0	3	3	30	0	0	6.775068e-05	0	2.991898e-06	2.118139e-06
chr20	  2462969	  2462989	chr20-103	  264.00	-	ENSG00000125835	SNRPB	downstream 10K|intron|CDS_Retained_intron	CDS_RI	intron	3	0.0009993643	3	3	3	1	2	2	2	2	2	3	4	4	3	4	4	3	45	0	6.610259e-06	6.775068e-05	0	2.991898e-06	2.118139e-06
chr20	  5190366	  5190386	chr20-60	   64.80	+	ENSG00000101290	CDS2	3'UTR	3'UTR	3'UTR	1	0.0005031848	3	3	3	3	2	2	2	0	1	2	1	3	1	1	3	3	33	0	0	0	0.0002145002	8.975694e-06	6.354418e-06
chr20	  6360628	  6360648	chr20-766	   13.20	-			TE|unannotated	TE	TE	2	4.796067e-05	1	1	1	1	1	1	0	0	0	2	1	0	0	1	3	2	15	0	1.322052e-05	0	0	5.983796e-06	2.118139e-06
chr20	  6537070	  6537090	chr20-375	   19.00	+				UnAn	UnAn	0	9.612735e-05	2	3	1	2	2	1	1	1	0	2	1	1	0	0	3	1	21	0	3.966155e-05	0	0	2.991898e-06	1.05907e-06
chr20	  6779411	  6779431	chr20-987	    9.70	+	ENSG00000125845	BMP2	3'UTR	3'UTR	3'UTR	1	0.0001120109	1	2	3	3	1	1	0	1	0	3	1	0	0	0	3	0	19	0	0	6.775068e-05	0	2.991898e-06	1.05907e-06
chr20	  8387968	  8387988	chr20-1296	   11.50	+	ENSG00000182621	PLCB1	intron|TE|Other|CDS_Retained_intron	TE	TE	4	0.0002830047	0	2	0	1	1	0	0	0	0	0	0	2	0	1	3	3	13	0.0001579779	1.322052e-05	0	0	0	1.05907e-06
chr20	 10481503	 10481523	chr20-2482	    5.29	+	ENSG00000149346	SLX4IP	intron	intron	intron	1	0.0002270346	2	2	1	2	1	0	0	0	0	1	0	0	0	0	3	0	12	0	0	0	0.0002145002	2.991898e-06	1.05907e-06
chr20	 17943998	 17944018	chr20-43	  164.80	-	ENSG00000089006	SNX5	downstream 10K|intron|CDS_Retained_intron	CDS_RI	intron	3	0.0004223305	3	3	3	3	2	2	2	2	1	4	4	2	0	0	3	1	35	0	1.983078e-05	0	0	2.991898e-06	2.118139e-06
chr20	 19995259	 19995279	chr20-1125	   11.00	+	ENSG00000132669	RIN2	intron|Other	Other	Other	2	3.989551e-05	0	1	1	1	1	0	0	0	0	2	0	1	0	1	3	2	13	0	6.610259e-06	0	0	2.991898e-06	5.295348e-06
chr20	 29298970	 29298990	chr20-19	  428.80	-				UnAn	UnAn	0	0.002002566	3	3	3	3	2	2	2	2	2	5	3	3	3	3	4	4	47	0	1.983078e-05	0	0.0002145002	3.291088e-05	1.800418e-05
chr20	 29299602	 29299622	chr20-50	  204.50	-				UnAn	UnAn	0	0.0008601262	3	3	3	3	2	2	2	1	2	4	2	3	3	2	3	3	41	0	0	0	0.0002145002	5.983796e-06	1.05907e-06
chr20	 30486521	 30486541	chr20-380	   26.90	-				UnAn	UnAn	0	0.0001456799	0	1	1	3	2	2	0	0	0	0	3	1	1	2	3	1	20	0	0	6.775068e-05	0	2.991898e-06	1.05907e-06
chr20	 30486782	 30486802	chr20-25	  422.20	-				UnAn	UnAn	0	0.00131192	3	3	3	3	2	2	2	2	2	4	2	2	2	3	3	1	39	0	1.983078e-05	0	0	2.692708e-05	1.164977e-05
chr20	 30487160	 30487180	chr20-232	   38.80	-				UnAn	UnAn	0	0.0001356216	2	3	2	2	1	1	1	1	0	2	2	2	2	2	3	0	26	0	6.610259e-06	0	0	2.991898e-06	2.118139e-06
chr20	 30487419	 30487439	chr20-65	  200.10	-				UnAn	UnAn	0	0.0007907257	3	3	3	3	2	2	2	2	4	4	2	2	2	2	3	4	43	0	6.610259e-06	0	0	2.991898e-06	3.177209e-06
chr20	 30514065	 30514085	chr20-198	   76.20	-			unannotated	UnAn	UnAn	1	0.001082266	3	2	3	1	2	1	1	1	0	2	3	2	2	3	4	3	33	0	1.983078e-05	0	0.0002145002	3.889467e-05	4.448092e-05
chr20	 32416538	 32416558	chr20-175	   36.10	+	ENSG00000171456	ASXL1	intron|CDS_Retained_intron	CDS_RI	intron	2	0.0003094405	3	3	1	3	2	1	2	1	1	3	2	1	0	1	3	0	27	0	0	0	0.0002145002	5.983796e-06	1.05907e-06
chr20	 34401831	 34401851	chr20-243	   27.80	-				UnAn	UnAn	0	0.0003184986	0	2	3	3	1	2	1	1	1	2	0	0	1	4	3	5	29	0	0	6.775068e-05	0	2.991898e-06	2.118139e-06
chr20	 34510454	 34510474	chr20-1196	    9.25	+	ENSG00000078747	ITCH	3'UTR|intron|Other	3'UTR	3'UTR	3	0.001583584	3	3	3	3	2	2	1	2	3	4	2	4	1	1	3	5	42	0	0.0001123744	0	0	1.495949e-05	7.413487e-06
chr20	 34510466	 34510486	chr20-3	  464.10	+	ENSG00000078747	ITCH	3'UTR|intron|Other	3'UTR	3'UTR	3	0.001643354	3	3	3	3	2	2	1	2	3	4	2	4	1	2	3	5	43	0	0.0001123744	0	0	1.795139e-05	9.531626e-06
chr20	 35728413	 35728433	chr20-56	   94.30	-	ENSG00000131051	RBM39	downstream 10K|intron|CDS_Retained_intron	CDS_RI	intron	3	0.0003162045	3	3	3	3	2	2	2	2	2	4	2	3	1	1	3	2	38	0	1.322052e-05	0	0	2.991898e-06	2.118139e-06
chr20	 41045161	 41045181	chr20-426	   18.50	+	ENSG00000198900	TOP1	intron|CDS_Retained_intron	CDS_RI	intron	2	4.803396e-05	3	3	3	2	1	2	1	0	1	2	0	0	0	0	3	0	21	0	6.610259e-06	0	0	2.991898e-06	1.05907e-06
chr20	 44432367	 44432387	chr20-2	  913.60	+	ENSG00000101076	HNF4A	3'UTR|Other	3'UTR	3'UTR	2	0.002653932	3	3	3	3	2	2	1	2	2	5	2	3	2	3	3	6	45	0	1.322052e-05	0	0	4.188657e-05	4.659906e-05
chr20	 45326276	 45326296	chr20-15	  291.30	-	ENSG00000124145	SDC4	3'UTR	3'UTR	3'UTR	1	0.001013436	3	3	3	3	2	2	2	1	1	4	1	2	1	1	3	1	33	0	0	6.775068e-05	0.0002145002	0	2.118139e-06
chr20	 45326436	 45326456	chr20-9	  217.30	-	ENSG00000124145	SDC4	3'UTR	3'UTR	3'UTR	1	0.0006367186	3	3	3	3	2	2	1	2	0	3	1	0	2	1	3	4	33	0	1.322052e-05	0	0	8.975694e-06	7.413487e-06
chr20	 47656138	 47656158	chr20-8	  419.60	+	ENSG00000124151	NCOA3	3'UTR|Other	3'UTR	3'UTR	2	0.001173336	3	3	3	3	2	2	1	1	2	4	1	2	0	2	3	5	37	0	6.610259e-06	0	0	2.094329e-05	1.482697e-05
chr20	 49113929	 49113949	chr20-16	  223.90	-	ENSG00000124214	STAU1	3'UTR	3'UTR	3'UTR	1	0.0008858274	3	3	3	3	2	2	1	2	2	4	2	4	0	2	4	6	43	0	6.610259e-06	6.775068e-05	0	1.495949e-05	1.37679e-05
chr20	 50081324	 50081344	chr20-32	   97.00	-	ENSG00000124208	PEDS1-UBE2V1	3'UTR	3'UTR	3'UTR	1	0.0003978137	3	3	3	3	2	2	1	1	2	4	1	1	2	0	3	3	34	0	3.966155e-05	0	0	1.196759e-05	1.164977e-05
chr20	 50901305	 50901325	chr20-78	   51.60	-	ENSG00000101126	ADNP	intron	intron	intron	1	0.0003392128	3	3	3	3	2	2	1	1	1	3	2	1	0	1	3	0	29	0	0	0	0.0002145002	2.393518e-05	1.05907e-06
chr20	 58275581	 58275601	chr20-2058	    9.25	+			Other|unannotated	Other	Other	2	5.209333e-05	0	1	0	0	1	0	0	1	0	1	1	0	0	0	3	2	10	0	1.983078e-05	0	0	2.991898e-06	1.05907e-06
chr21	  6123637	  6123657	chr21-286	   32.60	+	ENSG00000275993			UnAn	UnAn	0	0.0002082987	2	3	3	3	2	1	1	0	3	3	2	1	0	1	3	3	31	0	1.322052e-05	0	0	8.975694e-06	1.05907e-06
chr21	  6245978	  6245998	chr21-797	    8.37	-	ENSG00000275496		intron|lncRNA	lncRNA	ncRNA	2	2.662155e-05	3	2	0	2	0	1	1	0	0	1	0	0	0	1	3	0	14	0	6.610259e-06	0	0	2.991898e-06	1.05907e-06
chr21	  6245978	  6245998	chr21-797	    8.37	-	ENSG00000275496		intron|lncRNA	lncRNA	ncRNA	2	2.662155e-05	3	2	0	2	0	1	1	0	0	1	0	0	0	1	3	0	14	0	6.610259e-06	0	0	2.991898e-06	1.05907e-06
chr21	  6322543	  6322563	chr21-52	   89.50	+	ENSG00000278903		intron|lncRNA	lncRNA	ncRNA	2	0.0003361021	3	3	3	3	2	2	2	0	2	4	3	3	0	1	3	0	34	0	6.610259e-06	0	0	2.991898e-05	1.270884e-05
chr21	  6351687	  6351707	chr21-527	   31.30	+	ENSG00000278903		intron|lncRNA	lncRNA	ncRNA	2	7.429912e-05	3	3	3	3	1	1	0	1	0	2	0	0	0	0	3	1	21	0	6.610259e-06	0	0	2.991898e-06	2.118139e-06
chr21	  6637425	  6637445	chr21-453	   40.50	-	ENSG00000280145		intron|lncRNA	lncRNA	ncRNA	2	8.062408e-05	2	3	0	3	1	1	0	1	0	2	0	1	0	0	3	0	17	0	6.610259e-06	0	0	2.991898e-06	2.118139e-06
chr21	  6666563	  6666583	chr21-67	   80.20	-	ENSG00000280145		intron|lncRNA	lncRNA	ncRNA	2	0.0003648215	3	3	2	3	2	2	1	1	2	4	1	3	0	0	3	2	32	0	6.610259e-06	0	0	2.991898e-05	1.05907e-05
chr21	  6993633	  6993653	chr21-72	   78.00	-	ENSG00000280018		intron|lncRNA	lncRNA	ncRNA	2	0.0003247068	3	3	3	3	2	2	2	0	2	4	3	2	0	1	3	2	35	0	6.610259e-06	0	0	2.991898e-05	1.05907e-05
chr21	  7451975	  7451995	chr21-630	   10.60	+	ENSG00000276077		intron|lncRNA	lncRNA	ncRNA	2	3.191224e-05	2	3	1	3	0	1	0	0	0	1	0	0	0	1	3	0	15	0	6.610259e-06	0	0	2.991898e-06	1.05907e-06
chr21	  8209680	  8209700	chr21-55	   80.20	+	ENSG00000278996		intron|lncRNA	lncRNA	ncRNA	2	0.0005330286	3	3	3	3	2	2	2	2	4	4	3	2	2	2	3	3	43	0	6.610259e-06	0	0	5.983796e-06	6.354418e-06
chr21	  8210128	  8210148	chr21-88	   94.30	+	ENSG00000278996		intron|lncRNA	lncRNA	ncRNA	2	0.0007770947	3	3	2	3	2	2	2	2	0	3	4	2	2	4	4	4	42	0	2.644104e-05	0	0.0002145002	2.094329e-05	2.118139e-06
chr21	  8210274	  8210294	chr21-22	  285.10	+	ENSG00000278996		intron|lncRNA	lncRNA	ncRNA	2	0.002066737	3	3	3	3	2	2	2	2	3	4	4	4	3	4	4	3	49	0	6.610259e-06	6.775068e-05	0	5.684606e-05	1.270884e-05
chr21	  8210445	  8210465	chr21-26	  416.00	+	ENSG00000278996		intron|lncRNA	lncRNA	ncRNA	2	0.001617948	3	3	3	3	2	2	2	1	3	4	2	3	3	2	3	4	43	0	1.983078e-05	0	0	4.188657e-05	1.37679e-05
chr21	  8210540	  8210560	chr21-40	  107.50	+	ENSG00000278996		intron|lncRNA	lncRNA	ncRNA	2	0.0007063206	3	3	3	3	2	2	2	2	2	5	2	3	3	3	4	2	44	0	6.610259e-06	6.775068e-05	0	1.196759e-05	2.118139e-06
chr21	  8210776	  8210796	chr21-3	 3083.70	+	ENSG00000278996		intron|lncRNA	lncRNA	ncRNA	2	0.01407952	3	3	3	3	2	2	2	2	4	5	3	3	4	3	3	6	51	0	1.983078e-05	0	0	0.0002812384	0.0001387381
chr21	  8210885	  8210905	chr21-34	  120.30	+	ENSG00000278996		intron|lncRNA	lncRNA	ncRNA	2	0.0005699682	3	3	2	3	2	2	1	2	2	2	2	4	2	3	4	2	39	0	1.322052e-05	6.775068e-05	0	8.975694e-06	4.236278e-06
chr21	  8211002	  8211022	chr21-66	   69.60	+	ENSG00000278996		intron|lncRNA	lncRNA	ncRNA	2	0.0006284181	3	3	3	3	1	2	2	2	2	4	3	2	2	4	3	5	44	0	1.322052e-05	0	0	2.991898e-06	6.354418e-06
chr21	  8211491	  8211511	chr21-195	  245.50	+	ENSG00000278996		intron|lncRNA	lncRNA	ncRNA	2	0.001591366	3	3	3	2	2	2	2	2	1	4	4	4	3	4	5	6	50	0	2.644104e-05	0.000203252	0.0002145002	2.991898e-06	9.531626e-06
chr21	  8212617	  8212637	chr21-9	  413.80	+	ENSG00000278233	RNA5-8SN2	intron|lncRNA|rRNA	lncRNA	ncRNA	3	0.002171827	3	3	3	3	2	2	2	2	2	4	3	3	4	4	4	5	49	0.0001579779	8.593337e-05	0	0	5.086226e-05	2.224046e-05
chr21	  8213932	  8213952	chr21-11	  255.60	+	ENSG00000278996		intron|lncRNA	lncRNA	ncRNA	2	0.001009719	3	3	3	2	2	2	2	2	3	4	2	2	2	2	3	3	40	0.0001579779	0	0	0	1.495949e-05	3.177209e-06
chr21	  8214254	  8214274	chr21-97	   91.20	+	ENSG00000278996		intron|lncRNA	lncRNA	ncRNA	2	0.00048827	1	2	3	3	2	1	1	1	3	3	3	2	2	2	3	3	35	0	6.610259e-06	0	0	5.983796e-06	2.118139e-06
chr21	  8215212	  8215232	chr21-104	   97.00	+	ENSG00000278996		intron|lncRNA	lncRNA	ncRNA	2	0.0003676893	2	3	0	2	2	1	2	1	1	1	2	2	1	2	3	3	28	0	6.610259e-06	0	0	2.991898e-06	5.295348e-06
chr21	  8215643	  8215663	chr21-39	  176.30	+	ENSG00000278996		intron|lncRNA	lncRNA	ncRNA	2	0.001489886	3	3	3	3	2	2	2	2	4	5	3	2	2	4	4	5	49	0.0001579779	1.322052e-05	0	0	8.975694e-06	8.472557e-06
chr21	  8215813	  8215833	chr21-23	  126.00	+	ENSG00000278996		intron|lncRNA	lncRNA	ncRNA	2	0.0006945031	2	3	1	2	2	2	2	2	1	3	3	2	1	2	3	4	35	0	6.610259e-06	0	0	5.983796e-06	5.295348e-06
chr21	  8216284	  8216304	chr21-106	   88.10	+	ENSG00000278996		intron|lncRNA	lncRNA	ncRNA	2	0.000829335	3	3	3	2	1	2	1	2	3	2	2	3	2	2	3	3	37	0	2.644104e-05	0	0	1.795139e-05	3.283116e-05
chr21	  8216513	  8216533	chr21-92	   84.60	+	ENSG00000278996		intron|lncRNA	lncRNA	ncRNA	2	0.000409285	3	3	3	2	2	1	2	1	1	2	2	2	1	2	3	4	34	0	1.322052e-05	0	0	1.495949e-05	5.295348e-06
chr21	  8216709	  8216729	chr21-90	   57.30	+	ENSG00000278996		intron|lncRNA	lncRNA	ncRNA	2	0.000371658	3	3	1	3	2	2	1	1	1	2	4	3	3	2	3	3	37	0	6.610259e-06	0	0	1.196759e-05	7.413487e-06
chr21	  8217516	  8217536	chr21-94	  103.10	+	ENSG00000278996		intron|lncRNA	lncRNA	ncRNA	2	0.0006204703	3	3	2	1	2	2	1	0	4	2	2	2	2	2	3	5	36	0	1.322052e-05	0	0	5.983796e-06	4.236278e-06
chr21	  8217648	  8217668	chr21-101	   74.50	+	ENSG00000278996		intron|lncRNA	lncRNA	ncRNA	2	0.0006983005	3	3	2	3	2	2	1	1	1	2	2	4	2	3	4	3	38	0	6.610259e-06	6.775068e-05	0	2.991898e-06	2.118139e-06
chr21	  8218178	  8218198	chr21-76	   70.10	+	ENSG00000278996		intron|lncRNA	lncRNA	ncRNA	2	0.0004938862	3	3	2	3	2	2	2	1	1	1	2	3	2	3	3	1	34	0.0001579779	0	0	0	8.975694e-06	2.118139e-06
chr21	  8218239	  8218259	chr21-78	   76.20	+	ENSG00000278996		intron|lncRNA	lncRNA	ncRNA	2	0.0003384265	3	3	2	2	2	2	2	1	2	3	2	2	1	3	3	3	36	0	1.322052e-05	0	0	2.991898e-06	1.05907e-06
chr21	  8218438	  8218458	chr21-45	  110.20	+	ENSG00000278996		intron|lncRNA	lncRNA	ncRNA	2	0.001018737	3	3	3	3	2	2	2	2	3	4	3	3	1	3	5	4	46	0.0003159558	6.610259e-06	6.775068e-05	0	1.795139e-05	4.236278e-06
chr21	  8218562	  8218582	chr21-168	   51.10	+	ENSG00000278996		intron|lncRNA	lncRNA	ncRNA	2	0.0004267071	3	3	3	3	2	2	0	1	2	1	2	2	2	2	3	2	33	0	3.966155e-05	0	0	3.590278e-05	1.37679e-05
chr21	  8218755	  8218775	chr21-119	  338.00	+	ENSG00000278996		intron|lncRNA	lncRNA	ncRNA	2	0.000997519	3	3	3	3	2	2	1	2	2	3	2	2	1	2	3	4	38	0.0001579779	0	0	0	5.983796e-06	3.177209e-06
